spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name,duration_ms,song_popularity,release_date,is_explicit
spotify:track:02QyGjN6VB2YYzto3LSv47,Junk!,BØRNS,200378,29,2023-07-28,False
spotify:track:02RGARryimtGfuawXbKj8P,Flashback,Favé,176109,59,2023-09-15,True
spotify:track:02TVKDjuwKP0hhRCT2lhcD,A Paper Dream,DYGL,207704,19,2019-03-06,False
spotify:track:02TzIc8j3b1l5KhFP3tOWX,Too Good At Goodbyes,Music Lab Collective,200136,7,2017-11-10,False
spotify:track:02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,Bruno Mars,242096,78,2021-11-11,False
spotify:track:02WEILklkZcImYfzPUysC7,Meditação,Noúres,212601,16,2016-06-02,False
spotify:track:02ZorlDGq0uTnMobHNh4EL,Bravado,Lorde,221408,0,2013-01-01,False
spotify:track:02aA8rxDfbpIBvDJjQNiWm,The Kids (feat. Janelle Monáe),B.o.B,206906,12,2010-04-27,False
spotify:track:02abeuuPP4FXRXgxkgGzRn,Cochise,Audioslave,222026,65,2002-11-17,False
spotify:track:02crbdTlNPDBpqBnTWayvf,I Need You,Marc Rebillet,178343,0,2018-07-14,False
spotify:track:02e7hYJIOU3t774deXGzsj,Graduation,HYUKOH,253727,0,2018-05-31,False
spotify:track:02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Miranda Lambert,236626,65,2009-09-24,False
spotify:track:02fFizH6SjzEQQ4BY6eoLl,Model Behavior,Mack Keane,293693,0,2015-11-10,False
spotify:track:02fSxVKwfRglhkXt03wVJg,Outrun This!,Arcade High,249836,38,2013-06-24,False
spotify:track:02gV5Zc9ctbZxD1uTNIok5,Without You - Remastered,Harry Nilsson,203000,0,1971,False
spotify:track:02gySWUFk5JT4gMguGAhdO,Ocean Drive,Miami Nights 1984,258461,49,2012-03-08,False
spotify:track:02h4inVwwNX1cMuGCDtsgV,FOREVER YOUNG - Japanese Version,BLACKPINK,237146,49,2018-12-05,False
spotify:track:02hHA6dbl3l8iowDDbYT6M,Largo São Sebastião,Luneta Mágica,245437,3,2012-08-01,False
spotify:track:02i0HFL3IJl8cJ2RIzFfLS,So It Goes,Hi-Lo Jack,203426,9,2017-11-17,False
spotify:track:02iFWg8h0cc8tpL7OtlLaq,Chinatown Market,Danny Dwyer,132509,0,2019-11-29,True
spotify:track:02ioSMHPOV9VyorrcPFz2u,No Relief,Tensnake,400195,18,2014-01-01,False
spotify:track:02kDW379Yfd5PzW5A6vuGt,Lemonade,Internet Money,195428,8,2020-08-14,True
spotify:track:02luOsVJEhcVH5Zf3n7Gq6,I Won't Let You Walk Away (feat. Madison Beer) - Radio Edit,Mako,166460,35,2015-02-24,False
spotify:track:02oEsDGI2yAH8mffONoMfl,Lovumba,Daddy Yankee,220291,0,2011-10-04,False
spotify:track:02opp1cycqiFNDpLd2o1J3,Big Lie,Post Malone,207680,58,2016-12-09,True
spotify:track:02pf9lLM8Nb8l4u4ts1GWb,My Nigga,YG,235600,0,2014-01-01,True
spotify:track:02rbSCTm2smTIZ6d8im2NP,This Is How We Party,R3HAB,147605,0,2019-02-08,False
spotify:track:02sPuecm24k5cekMMH5JCW,Give It to Me,HOMESHAKE,188971,44,2015-09-18,False
spotify:track:02si1bBOsCDBX7lQ1PpqDq,"Course Select Menu (From ""Mario Kart 7"")",Arcade Player,72074,23,2020-10-08,False
spotify:track:02tNuntKQsoou5T4O8meyh,Hana,Fujii Kaze,246699,60,2023-10-12,False
spotify:track:02tSHWhfTDt394OaGKmmKe,Cómo Suena Mi Acordeón,Aniceto Molina,214250,48,2008-07-21,False
